74,Среда 08.05.2024,19:45-21:15,"Органическая, физическая и коллоидная химия (Гл402)","Органическая, физическая и коллоидная химия (Гл406)",Философия (Гл247),История России (Гл252),2024-05-08,08052024
81,Понедельник 20.05.2024,18:00-19:30,Ветеринарная генетика (Гл304),Иностранный язык ЗАЧЕТ (Дос524),Философия (Гл247),История России (Гл252),2024-05-20,20052024
82,Понедельник 20.05.2024,19:45-21:15,Ветеринарная генетика (Гл304),Иностранный язык ЗАЧЕТ (Дос524),Философия (Гл247),История России (Гл252),2024-05-20,20052024
84,Среда 22.05.2024,19:45-21:15,История России (Гл252),Ветеринарная генетика (Гл304),Ветеринарная генетика (Гл306),Философия (Гл247),2024-05-22,22052024
85,Пятница 24.05.2024,18:00-19:30,"Философия (лекция), аудитория 1, Главный корпус (доц. Гаджиев Т.Г.) + 1 ФЗТА","Философия (лекция), аудитория 1, Главный корпус (доц. Гаджиев Т.Г.) + 1 ФЗТА","Философия (лекция), аудитория 1, Главный корпус (доц. Гаджиев Т.Г.) + 1 ФЗТА","Философия (лекция), аудитория 1, Главный корпус (доц. Гаджиев Т.Г.) + 1 ФЗТА",2024-05-24,24052024
86,Пятница 24.05.2024,19:45-21:15,"Философия (лекция), аудитория 1, Главный корпус (доц. Гаджиев Т.Г.) + 1 ФЗТА","Философия (лекция), аудитория 1, Главный корпус (доц. Гаджиев Т.Г.) + 1 ФЗТА","Философия (лекция), аудитория 1, Главный корпус (доц. Гаджиев Т.Г.) + 1 ФЗТА","Философия (лекция), аудитория 1, Главный корпус (доц. Гаджиев Т.Г.) + 1 ФЗТА",2024-05-24,24052024
83,Среда 22.05.2024,18:00-19:30,История России (Гл252),Ветеринарная генетика (Гл304),Ветеринарная генетика (Гл306),Философия (Гл247),2024-05-22,22052024
87,Понедельник 27.05.2024,18:00-19:30,"История России (лекция), аудитория 1, Главный корпус (проф. Ларионова И.С.)","История России (лекция), аудитория 1, Главный корпус (проф. Ларионова И.С.)","История России (лекция), аудитория 1, Главный корпус (проф. Ларионова И.С.)","История России (лекция), аудитория 1, Главный корпус (проф. Ларионова И.С.)",2024-05-27,27052024
88,Понедельник 27.05.2024,19:45-21:15,"История России (лекция), аудитория 1, Главный корпус (проф. Ларионова И.С.)","История России (лекция), аудитория 1, Главный корпус (проф. Ларионова И.С.)","История России (лекция), аудитория 1, Главный корпус (проф. Ларионова И.С.)","История России (лекция), аудитория 1, Главный корпус (проф. Ларионова И.С.)",2024-05-27,27052024
89,Среда 29.05.2024,18:00-19:30,"Ветеринарная генетика (лекция), аудитория 1, Главный корпус (доц. Мкртчян Г.В.)","Ветеринарная генетика (лекция), аудитория 1, Главный корпус (доц. Мкртчян Г.В.)","Ветеринарная генетика (лекция), аудитория 1, Главный корпус (доц. Мкртчян Г.В.)","Ветеринарная генетика (лекция), аудитория 1, Главный корпус (доц. Мкртчян Г.В.)",2024-05-29,29052024
90,Среда 29.05.2024,19:45-21:15,"Ветеринарная генетика (лекция), аудитория 1, Главный корпус (доц. Мкртчян Г.В.)","Ветеринарная генетика (лекция), аудитория 1, Главный корпус (доц. Мкртчян Г.В.)","Ветеринарная генетика (лекция), аудитория 1, Главный корпус (доц. Мкртчян Г.В.)","Ветеринарная генетика (лекция), аудитория 1, Главный корпус (доц. Мкртчян Г.В.)",2024-05-29,29052024
92,Пятница 31.05.2024,19:45-21:15,Философия (Гл247),Ветеринарная генетика (Гл304),История России (Гл252),"Органическая, физическая и коллоидная химия (Гл402)",2024-05-31,31052024
93,Понедельник 03.06.2024,18:00-19:30,"Органическая, физическая и коллоидная химия (лекция), аудитория 1, Главный корпус (доц. Кравченко АЛ.)","Органическая, физическая и коллоидная химия (лекция), аудитория 1, Главный корпус (доц. Кравченко АЛ.)","Органическая, физическая и коллоидная химия (лекция), аудитория 1, Главный корпус (доц. Кравченко АЛ.)","Органическая, физическая и коллоидная химия (лекция), аудитория 1, Главный корпус (доц. Кравченко АЛ.)",2024-06-03,03062024
1,Понедельник 05.02.2024,18:00-19:30,"Анатомия животных (лекция), аудитория 1, Анатомический корпус (доц. Кумиров С.Г.)","Анатомия животных (лекция), аудитория 1, Анатомический корпус (доц. Кумиров С.Г.)","Анатомия животных (лекция), аудитория 1, Анатомический корпус (доц. Кумиров С.Г.)","Анатомия животных (лекция), аудитория 1, Анатомический корпус (доц. Кумиров С.Г.)",2024-02-05,05022024
2,Понедельник 05.02.2024,19:45-21:15,"Анатомия животных (лекция), аудитория 1, Анатомический корпус (доц. Кумиров С.Г.)","Анатомия животных (лекция), аудитория 1, Анатомический корпус (доц. Кумиров С.Г.)","Анатомия животных (лекция), аудитория 1, Анатомический корпус (доц. Кумиров С.Г.)","Анатомия животных (лекция), аудитория 1, Анатомический корпус (доц. Кумиров С.Г.)",2024-02-05,05022024
3,Среда 07.02.2024,18:00-19:30,"История ветеринарии (лекция), аудитория 1, Учебно-лабораторный корпус (проф. Иванюк В.П.)","История ветеринарии (лекция), аудитория 1, Учебно-лабораторный корпус (проф. Иванюк В.П.)","История ветеринарии (лекция), аудитория 1, Учебно-лабораторный корпус (проф. Иванюк В.П.)","История ветеринарии (лекция), аудитория 1, Учебно-лабораторный корпус (проф. Иванюк В.П.)",2024-02-07,07022024
4,Среда 07.02.2024,19:45-21:15,"История ветеринарии (лекция), аудитория 1, Учебно-лабораторный корпус (проф. Иванюк В.П.)","История ветеринарии (лекция), аудитория 1, Учебно-лабораторный корпус (проф. Иванюк В.П.)","История ветеринарии (лекция), аудитория 1, Учебно-лабораторный корпус (проф. Иванюк В.П.)","История ветеринарии (лекция), аудитория 1, Учебно-лабораторный корпус (проф. Иванюк В.П.)",2024-02-07,07022024
5,Пятница 09.02.2024,18:00-19:30,"Русский язык и культура речи (лекция), аудитория 1, Главный корпус (доц. Ляшенко Т.М.) + 1 ФЗТА","Русский язык и культура речи (лекция), аудитория 1, Главный корпус (доц. Ляшенко Т.М.) + 1 ФЗТА","Русский язык и культура речи (лекция), аудитория 1, Главный корпус (доц. Ляшенко Т.М.) + 1 ФЗТА","Русский язык и культура речи (лекция), аудитория 1, Главный корпус (доц. Ляшенко Т.М.) + 1 ФЗТА",2024-02-09,09022024
63,Понедельник 22.04.2024,18:00-19:30,Анатомия животных ЗАЧЕТ (Ан105),Философия (Гл247),Иностранный язык (Дос524),История России (Гл252),2024-04-22,22042024
